log_file,activity_count,users,resources,selectivity_level,selectivity,detection_time
results/logs/activity-log_1000actions_files4folders2_2024-10-09T22:15:25Z-2024-10-09T22:59:34Z.csv,600,5,89,medium,0.050147841513897104,1.4224999999999999
results/logs/activity-log_1000actions_files4folders2_2024-10-09T22:15:25Z-2024-10-09T22:59:34Z.csv,600,5,89,low,0.26339444115907745,4.9815
results/logs/activity-log_1000actions_files4folders2_2024-10-09T22:15:25Z-2024-10-09T22:59:34Z.csv,800,5,105,high,0.019548872180451128,1.6402999999999999
results/logs/activity-log_1000actions_files4folders2_2024-10-09T22:15:25Z-2024-10-09T22:59:34Z.csv,800,5,105,medium,0.058045112781954886,1.97
results/logs/activity-log_1000actions_files4folders2_2024-10-09T22:15:25Z-2024-10-09T22:59:34Z.csv,800,5,105,low,0.2642606516290727,6.0741
results/logs/activity-log_1000actions_files4folders2_2024-10-09T22:15:25Z-2024-10-09T22:59:34Z.csv,1000,5,121,high,0.01731187472814267,1.7786000000000002
results/logs/activity-log_1000actions_files4folders2_2024-10-09T22:15:25Z-2024-10-09T22:59:34Z.csv,1000,5,121,medium,0.06002609830361026,2.2573999999999996
results/logs/activity-log_1000actions_files4folders2_2024-10-09T22:15:25Z-2024-10-09T22:59:34Z.csv,1000,5,121,low,0.26916050456720314,7.506600000000001
results/logs/activity-log_1000actions_files4folders2_2024-10-09T22:15:25Z-2024-10-09T22:59:34Z.csv,1200,5,142,high,0.01475166790214974,1.6571000000000002
results/logs/activity-log_1000actions_files4folders2_2024-10-09T22:15:25Z-2024-10-09T22:59:34Z.csv,1200,5,142,medium,0.0664195700518903,2.7561999999999998
results/logs/activity-log_1000actions_files4folders2_2024-10-09T22:15:25Z-2024-10-09T22:59:34Z.csv,1200,5,142,low,0.2782060785767235,8.7664
results/logs/activity-log_1000actions_files4folders2_2024-10-09T22:15:25Z-2024-10-09T22:59:34Z.csv,1400,5,160,high,0.012828947368421053,1.9370999999999998
results/logs/activity-log_1000actions_files4folders2_2024-10-09T22:15:25Z-2024-10-09T22:59:34Z.csv,1400,5,160,medium,0.06730263157894736,3.2473
results/logs/activity-log_1000actions_files4folders2_2024-10-09T22:15:25Z-2024-10-09T22:59:34Z.csv,1400,5,160,low,0.28032894736842107,10.9503
results/logs/activity-log_1000actions_files4folders2_2024-10-09T22:15:25Z-2024-10-09T22:59:34Z.csv,1600,5,175,high,0.011849624060150376,2.2382999999999997
results/logs/activity-log_1000actions_files4folders2_2024-10-09T22:15:25Z-2024-10-09T22:59:34Z.csv,1600,5,175,medium,0.07314285714285715,4.173299999999999
results/logs/activity-log_1000actions_files4folders2_2024-10-09T22:15:25Z-2024-10-09T22:59:34Z.csv,1600,5,175,low,0.2764511278195489,11.2997
results/logs/activity-log_1000actions_files4folders2_2024-10-09T22:15:25Z-2024-10-09T22:59:34Z.csv,1800,5,198,high,0.010526315789473684,2.3032
results/logs/activity-log_1000actions_files4folders2_2024-10-09T22:15:25Z-2024-10-09T22:59:34Z.csv,1800,5,198,medium,0.07692716640085061,4.764
results/logs/activity-log_1000actions_files4folders2_2024-10-09T22:15:25Z-2024-10-09T22:59:34Z.csv,1800,5,198,low,0.2719298245614035,13.8907
results/logs/activity-log_1000actions_files4folders2_2024-10-09T22:15:25Z-2024-10-09T22:59:34Z.csv,2000,5,211,high,0.009927662758792716,2.4975
results/logs/activity-log_1000actions_files4folders2_2024-10-09T22:15:25Z-2024-10-09T22:59:34Z.csv,2000,5,211,medium,0.07882264903966077,4.995
results/logs/activity-log_1000actions_files4folders2_2024-10-09T22:15:25Z-2024-10-09T22:59:34Z.csv,2000,5,211,low,0.2731853330007483,14.4445
